data_source,mean,std,count
All,0.704,0.012649110640673542,10
All And Medical And Content,0.7,0.04216370213557838,10
All And Medical,0.696,0.03627058802329449,10
Non Medical,0.678,0.03705851229249942,10
Content,0.67,0.06616477747093066,10
Medical And Content,0.6479999999999999,0.05513619500836085,10
Medical,0.618,0.022010098692292254,10
