data_source,mean,std,count
All,0.6732638888888889,0.02520053636689131,5
All And Medical And Content,0.6635416666666666,0.055588098107729585,5
All And Medical,0.6604166666666667,0.051807396617734716,10
Non Medical,0.6503472222222222,0.04827825026140108,5
Content,0.6399305555555556,0.0693966849659209,5
Medical And Content,0.6145833333333334,0.07258522555682936,5
Medical,0.5888888888888889,0.023498505994012,5
