data_source,mean,std,count
All,0.6710363046377374,0.01673885650196753,5
All And Medical And Content,0.6648241356886583,0.05455323618724989,5
All And Medical,0.6612819894069893,0.053217850420083354,5
Non Medical,0.6494852424999484,0.049096939253903175,5
Content,0.6390563093768791,0.07438343775036368,5
Medical And Content,0.6131796822787595,0.07779624952355989,5
Medical,0.5882642245183443,0.022411868982272907,5
