data_source,mean,std,count
Non Medical,0.645340609857067,0.06179613946922485,15
All,0.6248767817954544,0.08246334335912106,15
All And Medical,0.621468667992742,0.06960578094393925,30
Content,0.6177922279783132,0.08425987260114817,15
All And Medical And Content,0.60328934942991,0.08088858335450097,15
Medical And Content,0.5735706979438232,0.07949434337105214,15
Medical,0.5654248734871106,0.0501784969740701,15
