model_name,method,average_method,best_params,loocv_accuracy,loocv_precision_macro,loocv_recall_macro,loocv_f1_macro,loocv_predictions,label
PolySVC,pca_precomputed,macro,"{'classifier__C': 10, 'classifier__degree': 3}",0.66,0.6188811188811189,0.5885416666666666,0.587178241864983,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",PolySVC - pca_precomputed
LogisticRegression,pca_live,macro,"{'classifier__C': 0.1, 'classifier__solver': 'liblinear', 'pca__n_components': 0.95}",0.64,0.6166666666666667,0.6215277777777778,0.6179966044142615,"['non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",LogisticRegression - pca_live
LinearSVC,pca_live,macro,"{'classifier__C': 0.1, 'pca__n_components': 0.95}",0.64,0.6166666666666667,0.6215277777777778,0.6179966044142615,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",LinearSVC - pca_live
LogisticRegression,rfe,macro,"{'classifier__C': 1, 'classifier__solver': 'saga', 'feature_selection__n_features_to_select': 40}",0.64,0.609375,0.609375,0.609375,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",LogisticRegression - rfe
PolySVC,select_k_best,macro,"{'classifier__C': 10, 'classifier__degree': 2, 'feature_selection__k': 60}",0.62,0.5686070686070686,0.5572916666666666,0.5558672276764843,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'expert']",PolySVC - select_k_best
RandomForest,pca_live,macro,"{'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'pca__n_components': 0.95}",0.62,0.5606060606060606,0.5451388888888888,0.5386109762020399,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert']",RandomForest - pca_live
PolySVC,rfe,macro,"{'classifier__C': 10, 'classifier__degree': 2, 'feature_selection__n_features_to_select': 40}",0.6,0.5569852941176471,0.5538194444444444,0.554367201426025,"['non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert']",PolySVC - rfe
RandomForest,pca_precomputed,macro,"{'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.6,0.575,0.578125,0.5755517826825127,"['non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'expert', 'non-expert']",RandomForest - pca_precomputed
RBFSVC,select_k_best,macro,"{'classifier__C': 1, 'classifier__gamma': 'scale', 'feature_selection__k': 40}",0.56,0.5438311688311689,0.546875,0.5416666666666666,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'expert', 'expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert']",RBFSVC - select_k_best
RandomForest,rfe,macro,"{'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'feature_selection__n_features_to_select': 80}",0.52,0.4276315789473684,0.4427083333333333,0.4285714285714286,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'expert']",RandomForest - rfe
