fold,accuracy,auc_overall,loss,y_test,y_pred_proba,auc_expert,auc_nonexpert,ap_expert,ap_nonexpert,prec_nonexpert,rec_nonexpert,f1_nonexpert,support_nonexpert,prec_expert,rec_expert,f1_expert,support_expert,cm_TN,cm_FP,cm_FN,cm_TP
1,0.515625,0.4461822526338655,0.7148813605308533,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1]","[0.3815027  0.40245226 0.37784252 0.3624197  0.36335582 0.39708996
 0.38196057 0.39354706 0.40418753 0.3941953  0.38924587 0.3678193
 0.42194334 0.40848902 0.4001621  0.36995512 0.36806837 0.37195078
 0.3761575  0.37899902 0.37193248 0.37253687 0.36733222 0.38037232
 0.36273625 0.36381495 0.39702028 0.3973941  0.3929014  0.39687797
 0.37060934 0.37988913 0.39116213 0.37296435 0.3781319  0.37191227
 0.3980547  0.37622836 0.3641487  0.39222988 0.40655804 0.40993476
 0.41240644 0.41863987 0.40670907 0.42054448 0.4234169  0.40336347
 0.42297906 0.4032272  0.4025172  0.3924027  0.37397408 0.37187153
 0.3865039  0.36260903 0.3706309  0.3912351  0.4031007  0.40369073
 0.38169998 0.39808077 0.3936008  0.41718453 0.40565    0.39964277
 0.34993201 0.38506076 0.38111106 0.40373018 0.38175264 0.36293593
 0.36470312 0.3736353  0.4026761  0.37769625 0.4011761  0.40394977
 0.4094175  0.4074754  0.41040277 0.41196942 0.41811484 0.4090059
 0.4023822  0.40490273 0.4149537  0.36848402 0.37427247 0.37194303
 0.3830536  0.36659986 0.3563849  0.38402644 0.35986516 0.376281
 0.39450574 0.39577636 0.39580196 0.39831197 0.40534952 0.3967223
 0.39529455 0.40929157 0.39612344 0.39347866 0.39817178 0.39659688
 0.3673838  0.39981562 0.39397985 0.37295705 0.37348843 0.38623014
 0.36925676 0.37140015 0.3947783  0.39976585 0.40361276 0.40173057
 0.40023038 0.40144515 0.39969212 0.41169006 0.40574142 0.40200466
 0.40364683 0.40683645 0.40293002 0.36441922 0.3728326  0.39255646
 0.3731706  0.38165885 0.3672263  0.36892748 0.37080517 0.37468722
 0.3688036  0.401264   0.40390736 0.40464288 0.40185478 0.40419036
 0.4081876  0.4008282  0.4044425  0.4020784  0.41203648 0.40124777
 0.39153683 0.38241458 0.39387235 0.3871933  0.39403337 0.36892632
 0.36244133 0.3812312  0.37494537 0.37229964 0.40313667 0.40443352
 0.40874484 0.40582198 0.40958852 0.41149536 0.40769008 0.40117902
 0.4117762  0.40900084 0.40526432 0.37604728 0.3753566  0.39050856
 0.37445965 0.37678504 0.37815917 0.3715908  0.38293606 0.36896992
 0.39912668 0.4007173  0.39920822 0.40384296 0.39908716 0.3971378
 0.40523893 0.39872146 0.40170017 0.39367872 0.40250877 0.39925113]",0.4461822526338655,0.4461822526338656,0.4439065272666395,0.49386670851549935,0.515625,1.0,0.6804123711340206,99,0.0,0.0,0.0,93,99,0,93,0
2,0.8125,0.5172720797720798,0.6046159863471985,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1]","[0.3979624  0.44304535 0.4013675  0.37432003 0.40184554 0.3750241
 0.3987887  0.38864806 0.36363655 0.42829338 0.44058    0.44407326
 0.42592746 0.44594458 0.42575923 0.41048616 0.42823422 0.44778362
 0.41556802 0.42587003 0.42477354 0.3727357  0.37141505 0.4132004
 0.38650224 0.4213629  0.3966061  0.40519294 0.385147   0.39673525
 0.41535854 0.417688   0.42251253 0.44582564 0.44010457 0.43228802
 0.44090253 0.44606948 0.44380686 0.4288509  0.44211385 0.4099753
 0.37173793 0.3692623  0.40604615 0.3781784  0.38681123 0.40611392
 0.37522808 0.38041365 0.40807086 0.4015618  0.43451223 0.44628507
 0.4450036  0.44406122 0.4477493  0.44876385 0.4417242  0.44292912
 0.44618165 0.44264624 0.44792253 0.41433737 0.41559112 0.41687828
 0.40454993 0.41791603 0.3939971  0.40653834 0.41083223 0.3972593
 0.44946    0.45274854 0.4535207  0.44857955 0.45376292 0.4414381
 0.45505413 0.45156294 0.45465517 0.44440636 0.4512879  0.45474863
 0.38703445 0.37123427 0.39924765 0.4036199  0.35367367 0.36394176
 0.38956445 0.39116922 0.41439992 0.3598402  0.39467385 0.38663158
 0.45294204 0.4481324  0.41975906 0.39610565 0.41674712 0.40778065
 0.4072774  0.43142146 0.4070126  0.4032959  0.41073984 0.36698425
 0.44829714 0.4483098  0.4501324  0.44741353 0.44632998 0.44849494
 0.4478197  0.4511212  0.4544548  0.41870236 0.45071682 0.45339856
 0.41047    0.4124242  0.39822936 0.38004375 0.3770648  0.40027133
 0.38477758 0.38332576 0.4034401  0.43868902 0.43696433 0.4598742
 0.45332208 0.44400746 0.46283874 0.44906995 0.46832222 0.44680375
 0.44468543 0.4618007  0.44103104 0.38586053 0.41372696 0.4111624
 0.4192742  0.41964257 0.40218058 0.41330865 0.3992046  0.38364288
 0.38783267 0.452286   0.45224005 0.45492414 0.45144504 0.45217863
 0.45201108 0.45467162 0.4495208  0.45078075 0.4537941  0.44974694
 0.37611207 0.37061447 0.40697634 0.40794808 0.37277308 0.4035763
 0.39080852 0.38417634 0.40852407 0.4018747  0.38847277 0.38895774
 0.44366512 0.44944313 0.42509228 0.40662268 0.40955478 0.39659688
 0.39058056 0.36292702 0.3989223  0.4059765  0.37982848 0.41679814
 0.4014287  0.38536435 0.40380144 0.43670124 0.42175716 0.44082505]",0.5172720797720798,0.5172720797720798,0.21935886038989558,0.8299158974182083,0.8125,1.0,0.896551724137931,156,0.0,0.0,0.0,36,156,0,36,0
3,0.5,0.3992369060006937,0.7041949033737183,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1]","[0.42747888 0.42944235 0.42700955 0.42416194 0.43138072 0.42745405
 0.43520927 0.4372644  0.43569303 0.42667794 0.429428   0.43482935
 0.43529525 0.42677793 0.438335   0.43053254 0.4271472  0.4346875
 0.4223979  0.43077362 0.43438083 0.43662313 0.42740047 0.43119016
 0.42794654 0.43709636 0.42904207 0.437782   0.43703276 0.43691936
 0.43550768 0.43194914 0.43729353 0.42954963 0.4289914  0.4302115
 0.4354849  0.4208834  0.43397048 0.42277038 0.43795124 0.42979464
 0.4388373  0.43762153 0.43635124 0.4387068  0.43723765 0.44098476
 0.43722507 0.4402677  0.43840227 0.4331781  0.43179774 0.43510452
 0.43010417 0.43043613 0.4315669  0.4269244  0.4290087  0.43262208
 0.42190713 0.43984362 0.43742564 0.43551826 0.43887788 0.43375516
 0.43841445 0.43947816 0.44146097 0.4371697  0.43954495 0.43845186
 0.43456766 0.4289705  0.43033227 0.43497548 0.43733776 0.43788552
 0.43848705 0.4375469  0.43531206 0.43995085 0.4393594  0.4412375
 0.43943074 0.434478   0.44095278 0.43561795 0.4390655  0.44181132
 0.43905485 0.4408795  0.43906015 0.42756957 0.43036595 0.43402627
 0.4284052  0.43046132 0.42494914 0.4307254  0.43207255 0.42922488
 0.4361065  0.43907064 0.4369622  0.43816584 0.43689027 0.43717235
 0.4377313  0.44185472 0.4369499  0.43731192 0.4372337  0.4274964
 0.43066216 0.44101804 0.43046492 0.43394643 0.42791972 0.43195155
 0.4177412  0.4260128  0.43314418 0.42591834 0.42925298 0.42609096
 0.43941453 0.44013458 0.43282092 0.4253292  0.42864227 0.42749274
 0.4265586  0.4338966  0.43187034 0.42686316 0.4330929  0.42985788
 0.42668313 0.43258446 0.43153828 0.4394381  0.43925256 0.43818226
 0.42887694 0.42916963 0.4377826  0.43033257 0.43038023 0.4305619
 0.43356735 0.42784438 0.4304865  0.43836835 0.4398606  0.43523005
 0.43834317 0.43789777 0.43894044 0.438967   0.4417863  0.4367215
 0.43811852 0.43778962 0.4375664  0.433139   0.43177626 0.42905435
 0.42242736 0.4203144  0.41919228 0.42544147 0.4279198  0.42526883
 0.43219984 0.42757538 0.4391042  0.43602407 0.43015784 0.43699014
 0.4380769  0.4361604  0.4261837  0.43021163 0.43108514 0.43848002]",0.3992369060006937,0.3992369060006937,0.4531480502089314,0.4326399959774917,0.5,1.0,0.6666666666666666,93,0.0,0.0,0.0,93,93,0,93,0
4,0.6964285969734192,0.6086810792693145,0.6260996460914612,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0.3760229  0.37659624 0.37768403 0.38627794 0.37739563 0.3708411
 0.38011083 0.38110575 0.37594897 0.38023797 0.37647662 0.38540465
 0.4199249  0.41555855 0.41137624 0.39037552 0.3756952  0.3912212
 0.38274324 0.3855837  0.37283736 0.38300714 0.37674436 0.42427573
 0.38376567 0.37543082 0.3785883  0.4037757  0.41461802 0.419129
 0.37431267 0.38905293 0.37530592 0.3915979  0.39073724 0.37501338
 0.38608196 0.39359206 0.39194626 0.37866834 0.41658834 0.41926607
 0.41863206 0.41868755 0.41922072 0.42085347 0.41632846 0.41787615
 0.41775978 0.42011735 0.42018893 0.38732016 0.3874232  0.38449675
 0.37842998 0.38342708 0.3819286  0.3787197  0.38343138 0.37138206
 0.41747937 0.41726464 0.41743135 0.41947806 0.41707408 0.42095515
 0.418639   0.41172904 0.4157869  0.4199714  0.41881123 0.4175215
 0.3869163  0.38016203 0.3839246  0.38214755 0.3768444  0.37596697
 0.39126158 0.37556547 0.38656345 0.41864568 0.41806245 0.416704
 0.41879156 0.416535   0.41960967 0.41900775 0.4170392  0.4176528
 0.4186946  0.4190504  0.42005867 0.41632336 0.41667807 0.41429195
 0.41134945 0.3842864  0.42008337 0.4160678  0.4156187  0.40651193
 0.41226912 0.38702455 0.41146654 0.4084814  0.4076766  0.41392502
 0.37833357 0.37572932 0.3802579  0.38196906 0.37391686 0.3842478
 0.37886658 0.39031032 0.384618   0.38020083 0.3730923  0.38074365
 0.41454074 0.41534376 0.4101093  0.37657002 0.37693793 0.38056007
 0.38642934 0.39051008 0.3774772  0.3855824  0.39050418 0.3893124
 0.3868492  0.3810319  0.38065475 0.41373354 0.41900378 0.42045504
 0.38079488 0.37386626 0.38081583 0.37555036 0.37633696 0.37088615
 0.380967   0.3764973  0.37948525 0.3710513  0.38475183 0.38333672
 0.41428375 0.41030452 0.41835657 0.3859485  0.38319874 0.37955448
 0.37004766 0.38414738 0.37922937 0.390088   0.39173636 0.3883592
 0.3740082  0.37364087 0.3822023  0.42019945 0.42299572 0.41506344]",0.6086810792693145,0.6086810792693147,0.3793678443935749,0.7668019261074243,0.6964285714285714,1.0,0.8210526315789474,117,0.0,0.0,0.0,51,117,0,51,0
5,0.6727272868156433,0.6101101101101101,0.6326971054077148,"[1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0.36183408 0.3646804  0.35983506 0.36988539 0.36863384 0.37783664
 0.37299606 0.37222454 0.37517425 0.36826375 0.37554622 0.36750194
 0.35014626 0.35405865 0.3522863  0.3626058  0.36185843 0.3527614
 0.3564397  0.3596439  0.35555628 0.34916976 0.35394982 0.35761514
 0.37623337 0.37114134 0.3649326  0.35802528 0.36429185 0.36066216
 0.36806095 0.35256878 0.36622605 0.3600353  0.3564746  0.35324782
 0.35453734 0.35876644 0.37110758 0.36937582 0.37105748 0.36272037
 0.36401516 0.3581474  0.36933276 0.3612047  0.35690406 0.35027432
 0.3559173  0.35096747 0.3695008  0.36898744 0.36754388 0.37329787
 0.37054253 0.37033033 0.37437564 0.36659652 0.3693809  0.37177297
 0.37305045 0.3709731  0.37387085 0.3633251  0.36065614 0.35769534
 0.37740242 0.36737677 0.36957142 0.3633694  0.36653212 0.3599604
 0.3649883  0.36176583 0.36740285 0.37070686 0.37440363 0.38034078
 0.35725638 0.3693428  0.36365968 0.36916205 0.35978913 0.359862
 0.3541894  0.36079937 0.35960487 0.35362813 0.36539584 0.3732899
 0.36315727 0.36816478 0.36670503 0.36973062 0.36921102 0.36595514
 0.36786544 0.37291965 0.37437704 0.3476259  0.35115838 0.346027
 0.3611767  0.37429398 0.36260286 0.36711857 0.3506147  0.3674225
 0.3756647  0.35815    0.3727114  0.3661918  0.37063962 0.3679463
 0.35271809 0.3563951  0.3544137  0.35158393 0.36284834 0.3600368
 0.35541937 0.3549378  0.35211232 0.35071588 0.36075026 0.36033514
 0.37937626 0.36948946 0.3641548  0.3604999  0.36004722 0.35853156
 0.36417884 0.35852835 0.3646971  0.35483545 0.36500126 0.35833067
 0.35506195 0.363679   0.35299438 0.37726635 0.37839225 0.3602392
 0.35345596 0.35494387 0.36089417 0.35279426 0.35630447 0.35187787
 0.3522374  0.35169005 0.3569668  0.35645136 0.36793315 0.3697282
 0.37049904 0.3656025  0.36744708 0.3688431  0.3678707  0.36679474
 0.3672844  0.36384454 0.36964354]",0.6101101101101101,0.6101101101101101,0.40315802421125513,0.7454650444012634,0.6727272727272727,1.0,0.8043478260869565,111,0.0,0.0,0.0,54,111,0,54,0
