fold,accuracy,auc_overall,loss,y_test,y_pred_proba,auc_expert,auc_nonexpert,ap_expert,ap_nonexpert,prec_nonexpert,rec_nonexpert,f1_nonexpert,support_nonexpert,prec_expert,rec_expert,f1_expert,support_expert,cm_TN,cm_FP,cm_FN,cm_TP
1,0.515625,0.47778863907896163,0.7200331687927246,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1]","[0.3539127  0.35492757 0.3613004  0.3613715  0.35008493 0.36227146
 0.3418458  0.36413795 0.34853965 0.36095485 0.34997463 0.35873532
 0.3884368  0.40977287 0.41935524 0.3685251  0.35657609 0.3615863
 0.3700734  0.37402377 0.39983848 0.3736959  0.35214508 0.36585742
 0.37766713 0.37956452 0.35464972 0.4037905  0.40826342 0.4006928
 0.34112406 0.35307235 0.35349587 0.35388267 0.33473918 0.3543891
 0.3444209  0.3370152  0.35307133 0.3495798  0.38261095 0.38106197
 0.39434943 0.3992205  0.4024552  0.37321928 0.38726813 0.39619812
 0.38906512 0.4018731  0.39692634 0.3454086  0.3497958  0.35817128
 0.3475782  0.35380375 0.34032923 0.35763645 0.3665164  0.35100657
 0.34553087 0.34609127 0.34193605 0.3720332  0.38963458 0.407717
 0.36158136 0.39116654 0.36598533 0.37539393 0.3803699  0.35857296
 0.36228895 0.367071   0.3761211  0.36328763 0.38710812 0.40758556
 0.39495704 0.3930273  0.40503225 0.39285105 0.41286567 0.39649412
 0.39610988 0.3920775  0.40787175 0.40994644 0.3774938  0.39729938
 0.3959695  0.3760175  0.34698954 0.40919217 0.41612098 0.37630922
 0.42953092 0.42092526 0.4279821  0.43503118 0.4152416  0.43790957
 0.4106527  0.40964985 0.4369417  0.43082765 0.42191064 0.41170323
 0.35132048 0.3591149  0.34951457 0.36878717 0.3697488  0.35518256
 0.36914042 0.35480946 0.35697815 0.3947622  0.39768484 0.38781652
 0.41029152 0.40739876 0.40860102 0.39754775 0.39160067 0.38332835
 0.39862546 0.39587444 0.3986559  0.36119983 0.35963076 0.36337438
 0.3651369  0.35628018 0.36923504 0.35122216 0.34870934 0.3562467
 0.35849452 0.41445234 0.4002006  0.39474964 0.39305967 0.4132916
 0.39492157 0.4077449  0.4089009  0.39317873 0.3999696  0.4069774
 0.32897618 0.33815175 0.34675768 0.3478779  0.34180203 0.34162152
 0.3439208  0.36213914 0.3384365  0.350122   0.39889765 0.39970452
 0.38794002 0.38552096 0.41322276 0.39930585 0.39011228 0.4099727
 0.40162283 0.38447878 0.40224376 0.35162672 0.3818043  0.35429797
 0.3554622  0.34308663 0.3518424  0.34126526 0.37142798 0.35439178
 0.39219263 0.38915655 0.3960794  0.3998128  0.42876127 0.40681404
 0.41128588 0.37215784 0.3935589  0.40973446 0.3940147  0.39925006]",0.47778863907896163,0.47778863907896174,0.4424066699300811,0.5666538256653633,0.515625,1.0,0.6804123711340206,99,0.0,0.0,0.0,93,99,0,93,0
2,0.8125,0.6469017094017093,0.5243330001831055,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1]","[0.30870023 0.33591306 0.32307637 0.5751185  0.27632117 0.27464768
 0.37530738 0.32121304 0.29110917 0.6277254  0.2765237  0.27409694
 0.35903367 0.27692595 0.285036   0.28576374 0.3797892  0.28391925
 0.28871796 0.28987595 0.3326523  0.25007525 0.26317698 0.36396864
 0.32814237 0.2791386  0.30519754 0.29590395 0.26017368 0.26745397
 0.24291514 0.30785793 0.55306935 0.27548015 0.31897905 0.33795437
 0.2626344  0.31642768 0.29226902 0.33803993 0.27005938 0.3452887
 0.31408915 0.25484374 0.29973596 0.35708085 0.2401204  0.3386075
 0.28562284 0.27232927 0.38494357 0.30296507 0.2913765  0.4394079
 0.3570889  0.39257234 0.33766028 0.34915337 0.3210253  0.40282178
 0.3981751  0.2992125  0.2864818  0.43751144 0.30357525 0.40674666
 0.29591626 0.41276035 0.35018545 0.59242475 0.318454   0.3780496
 0.6213305  0.26863882 0.61060286 0.34666106 0.29955047 0.35471204
 0.29375103 0.28763366 0.5911196  0.3401007  0.6503853  0.3382434
 0.527299   0.2709398  0.3085628  0.36432132 0.5922765  0.36299205
 0.59336376 0.3440719  0.6394171  0.36519936 0.5306586  0.39291814
 0.63748986 0.3546163  0.280489   0.2804198  0.27860454 0.30736995
 0.26990056 0.45711765 0.30720747 0.40808165 0.2881708  0.25746843
 0.2528878  0.26944712 0.32252645 0.29083294 0.25543818 0.28104526
 0.3076868  0.30878034 0.30267304 0.31613582 0.6910485  0.34374654
 0.28585863 0.29472986 0.27675027 0.27502728 0.2612535  0.25344586
 0.38648418 0.24830915 0.3119635  0.3535892  0.30230108 0.26209316
 0.42957437 0.29711464 0.60986006 0.32118723 0.64172226 0.30006748
 0.44694954 0.39365152 0.31718105 0.58267623 0.56507534 0.634692
 0.5866767  0.4080079  0.63643044 0.5890883  0.51190686 0.4582121
 0.601954   0.6262701  0.6420201  0.6512622  0.67167133 0.6481482
 0.6591629  0.6047669  0.6393408  0.58887553 0.64645    0.59925437
 0.3706211  0.26289582 0.41099426 0.30629146 0.36149192 0.28743175
 0.24645467 0.26969722 0.25641873 0.31401327 0.26598075 0.6062898
 0.6586017  0.47665113 0.4748272  0.24837957 0.25374576 0.3010632
 0.28961813 0.40124872 0.2758748  0.2576645  0.3710332  0.27940133
 0.26607493 0.25811812 0.25304323 0.29254285 0.2666073  0.2707733 ]",0.6469017094017093,0.6469017094017093,0.4089287388144558,0.845415084295593,0.8896103896103896,0.8782051282051282,0.8838709677419355,156,0.5,0.5277777777777778,0.5135135135135135,36,137,19,17,19
3,0.5,0.545612209503989,0.7237392663955688,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1]","[0.37008557 0.3767574  0.374218   0.37595645 0.38111925 0.37795654
 0.37977466 0.38134804 0.37925893 0.37208372 0.37146664 0.37348625
 0.38865006 0.39134112 0.37737238 0.3621125  0.37578917 0.36223486
 0.36756513 0.3601223  0.36156648 0.3651747  0.37636977 0.36855152
 0.36726013 0.3838205  0.36923075 0.38415915 0.382258   0.3715869
 0.35255662 0.3756731  0.37681603 0.3681009  0.36849722 0.35967654
 0.36932686 0.37319642 0.36802104 0.37443915 0.38055882 0.3895182
 0.39004394 0.37400967 0.37464076 0.38268974 0.37325823 0.37940842
 0.3805935  0.38370502 0.38078216 0.37409225 0.37629715 0.37488297
 0.37627774 0.3787929  0.38211948 0.36561972 0.37282437 0.39008242
 0.38587815 0.37794116 0.39161143 0.39280635 0.37417793 0.3885759
 0.386524   0.38680267 0.3793748  0.38213167 0.38547862 0.38405368
 0.36634862 0.36868373 0.36552823 0.3800915  0.37231565 0.3743707
 0.3853553  0.37261474 0.38171774 0.37999347 0.37117672 0.38270858
 0.39334014 0.39566135 0.38097197 0.3932186  0.37370723 0.37307182
 0.37190816 0.38365537 0.38410506 0.35104913 0.3795829  0.3773388
 0.37760618 0.3716315  0.37643155 0.36801016 0.35163426 0.37325826
 0.39120725 0.3813324  0.3892893  0.37683517 0.37296823 0.3901544
 0.3763236  0.38930398 0.37433743 0.37355983 0.38184533 0.38629735
 0.36705637 0.37674558 0.3862081  0.3731019  0.3639069  0.35967132
 0.3695414  0.37554553 0.3823503  0.36317974 0.38262707 0.371443
 0.38533992 0.3796577  0.37933224 0.36486545 0.3719402  0.35394135
 0.35945743 0.36284325 0.36878398 0.36023483 0.36440882 0.35795364
 0.3677648  0.36071014 0.35436365 0.38875946 0.3893619  0.37257108
 0.35597077 0.38121325 0.36726233 0.37762964 0.38500205 0.36837903
 0.37809655 0.36619475 0.37710676 0.3811529  0.3771378  0.3877974
 0.38315797 0.3718087  0.38372424 0.3722734  0.38824782 0.37799028
 0.37453926 0.3906828  0.38481092 0.37682822 0.38786566 0.38609922
 0.3747815  0.3863499  0.37908047 0.37796664 0.3742677  0.36628425
 0.38502148 0.3884071  0.3855011  0.39095488 0.3780239  0.36914918
 0.38749278 0.38287258 0.39497232 0.39680657 0.38925627 0.3872525 ]",0.545612209503989,0.5455543993525263,0.5663613855936902,0.5073406949514481,0.5,1.0,0.6666666666666666,93,0.0,0.0,0.0,93,93,0,93,0
4,0.7083333134651184,0.461706049941344,0.6283818483352661,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0.27102777 0.23065607 0.31651634 0.53541064 0.28260002 0.3729038
 0.52606076 0.36102363 0.25299072 0.3096952  0.24541998 0.28452766
 0.27280554 0.43197176 0.25234827 0.28086498 0.65378183 0.6315496
 0.24241875 0.34731582 0.3027788  0.3238924  0.7070032  0.35254788
 0.2591924  0.33576232 0.31295773 0.3070717  0.29186675 0.41008168
 0.28627995 0.2747438  0.25201672 0.3357118  0.33209354 0.30591533
 0.30941266 0.31844205 0.38355568 0.31666753 0.30666426 0.29301658
 0.3421952  0.45301852 0.44884434 0.43941858 0.4101448  0.30536497
 0.36751354 0.37661886 0.32028434 0.2696051  0.21884607 0.26049185
 0.40722382 0.45814383 0.2806154  0.37486568 0.31826702 0.2890042
 0.2308663  0.35354608 0.21858403 0.23444366 0.26175717 0.20471303
 0.2275742  0.18809943 0.20945911 0.51488197 0.3903901  0.29795045
 0.25489974 0.27737552 0.2852851  0.24481633 0.2552337  0.24947022
 0.25543475 0.24875118 0.27187914 0.6230282  0.34700814 0.2368719
 0.2123127  0.66972864 0.26143646 0.34850287 0.23548448 0.24339755
 0.2924809  0.2697826  0.2729785  0.23131451 0.70728475 0.44563678
 0.48940504 0.31013945 0.31769663 0.34752506 0.60746676 0.31454247
 0.5602795  0.7364827  0.7472065  0.72745043 0.20811257 0.22368558
 0.28680617 0.27394414 0.28778514 0.31359762 0.33920327 0.32008585
 0.28918657 0.37232167 0.3238466  0.39534584 0.250253   0.29039335
 0.37275997 0.24373092 0.29672146 0.2662467  0.39620653 0.3485195
 0.31057033 0.34000945 0.25201544 0.29836017 0.4322963  0.333271
 0.26928315 0.2405646  0.26791236 0.3504788  0.23455271 0.2650711
 0.33266574 0.26139772 0.28580374 0.2704824  0.4856502  0.3937294
 0.24490559 0.33444652 0.2516048  0.2917045  0.2290865  0.304879
 0.24712236 0.27979475 0.31154504 0.21514969 0.39158306 0.350043
 0.2559049  0.23066157 0.23859712 0.23392071 0.53542846 0.38639534
 0.20622288 0.2741224  0.26904184 0.18553723 0.56277436 0.22687489]",0.461706049941344,0.46170604994134407,0.4032187219966499,0.6255548961556243,0.7236842105263158,0.9401709401709402,0.8178438661710037,117,0.5625,0.17647058823529413,0.26865671641791045,51,110,7,42,9
5,0.6727272868156433,0.48465131798465133,0.6379643678665161,"[1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[0.39332518 0.3833585  0.37230334 0.4046956  0.37435555 0.40086663
 0.41888434 0.42399085 0.3773066  0.39692438 0.3554508  0.41157347
 0.3491736  0.35793954 0.40605998 0.3943895  0.3612362  0.34728447
 0.35584605 0.40225172 0.34036082 0.34000134 0.36408278 0.3468883
 0.35118338 0.35227302 0.34900254 0.37418306 0.37734368 0.3959515
 0.3821823  0.33684465 0.3729336  0.3867844  0.40924072 0.40663388
 0.39537856 0.3755683  0.3622003  0.39245147 0.37994596 0.38047272
 0.35662502 0.3774734  0.36751688 0.3709885  0.35297775 0.3663462
 0.34754294 0.34607413 0.3529613  0.34188175 0.40541378 0.35002556
 0.38788325 0.33051568 0.3495639  0.33670247 0.34033692 0.3656927
 0.34824532 0.33832693 0.39472243 0.3791717  0.39454615 0.37039384
 0.3989933  0.3638621  0.3823264  0.3886439  0.39243105 0.36469296
 0.39562228 0.36857593 0.35848108 0.3953351  0.3674563  0.39329803
 0.34787545 0.38759542 0.3940982  0.35849106 0.35029107 0.3834811
 0.35470352 0.36210805 0.36746722 0.3347328  0.41622207 0.34377816
 0.36393777 0.35917026 0.41506192 0.3691746  0.40205643 0.35397473
 0.37346652 0.36534062 0.42225167 0.3706627  0.40409842 0.4131042
 0.3790427  0.3742591  0.37330374 0.37293848 0.37992907 0.36588994
 0.39819917 0.35586414 0.3780475  0.35820493 0.37481672 0.3593264
 0.34945735 0.3548825  0.37865904 0.4026824  0.37832358 0.35393834
 0.3709437  0.40622914 0.35253444 0.3485694  0.35991108 0.3599171
 0.3818067  0.39712116 0.36157632 0.35614425 0.37428483 0.40306586
 0.38434163 0.35680726 0.3953308  0.35815856 0.40469834 0.33741903
 0.36987728 0.34924924 0.34780797 0.3436459  0.38174504 0.3487348
 0.3760604  0.36457616 0.37267026 0.3572032  0.36743864 0.35754934
 0.34332687 0.34744075 0.3979781  0.34698033 0.3539955  0.39124766
 0.37795323 0.37568626 0.40705606 0.35614613 0.40895337 0.4126028
 0.3910121  0.4196174  0.3737386 ]",0.48465131798465133,0.48465131798465133,0.3781246876160951,0.6438797921569481,0.6727272727272727,1.0,0.8043478260869565,111,0.0,0.0,0.0,54,111,0,54,0
