data_source,LinearSVC,LogisticRegression,PolySVC,RBFSVC,RandomForest
All,0.6466666666666666,0.6733333333333333,0.6866666666666666,0.64,0.64
All And Medical,0.68,0.68,0.64,0.66,0.6066666666666667
All And Medical And Content,0.64,0.66,0.5866666666666667,0.6666666666666666,0.6333333333333333
Content,0.68,0.6666666666666666,0.6466666666666666,0.6733333333333333,0.61
Medical,0.6133333333333334,0.6266666666666667,0.5533333333333333,0.6066666666666666,0.59
Medical And Content,0.6033333333333334,0.62,0.5466666666666666,0.66,0.6166666666666667
Non Medical,0.7066666666666667,0.6933333333333334,0.62,0.6866666666666666,0.6699999999999999
