data_source,mean,std,count
Non Medical,0.6479563607556097,0.05970762476558377,15
All,0.6297095493542731,0.08299340979944865,15
All And Medical,0.6265967205272358,0.06921624198676733,30
Content,0.6250776037250252,0.08459340289920476,15
All And Medical And Content,0.611159554885545,0.08349934408925465,15
Medical And Content,0.5785948386230044,0.0795003624760921,15
Medical,0.5669018729355542,0.04950909355068864,15
