data_source,mean,std,count
Non Medical,0.646412037037037,0.06063857069758757,15
All,0.630787037037037,0.08109082421654955,15
All And Medical,0.625462962962963,0.06983685426758404,30
Content,0.6204861111111111,0.08157294471664163,15
All And Medical And Content,0.6056712962962963,0.08148597899369096,15
Medical And Content,0.5769675925925927,0.0773179953920764,15
Medical,0.5673611111111111,0.050501781099084875,15
