data_source,mean,std,count
Non Medical,0.6753333333333332,0.05191062168456625,30
All,0.6573333333333333,0.06822545451426586,30
Content,0.6553333333333333,0.06961635426829818,30
All And Medical,0.6533333333333334,0.06019126602545525,30
All And Medical And Content,0.6373333333333334,0.07785633689946052,30
Medical And Content,0.6093333333333334,0.06982408108131875,30
Medical,0.5980000000000001,0.0449827553164773,30
