Base_Feature,Total_Appearances,Component_subset_medical
Average_pupil_diameter_min_non,1,1
Time_to_first_Visit_min_non,1,1
Duration_of_first_whole_fixation_mean_non,1,1
Time_to_first_fixation_min_non,1,1
Duration_of_first_fixation_mean_non,1,1
Average_duration_of_whole_fixations_mean_non,1,1
Average_pupil_diameter_mean_non,1,1
Total_duration_of_whole_fixations_std_non,1,1
Total_duration_of_fixations_std_non,1,1
Average_duration_of_fixations_mean_non,1,1
Average_whole-fixation_pupil_diameter_mean_non,1,1
Time_to_first_fixation_std_non,1,1
word_frequency_screen_min_non,1,1
total_word_count_screen_max_non,1,1
word_id_screen_max_non,1,1
Time_to_first_whole_fixation_std_non,1,1
Time_to_first_fixation_max_non,1,1
Average_whole-fixation_pupil_diameter_min_non,1,1
Total_duration_of_fixations_max_non,1,1
Total_duration_of_whole_fixations_max_non,1,1
Peak_velocity_of_entry_saccade_mean_non,1,1
