Base_Feature,Total_Appearances,Component_version_simple,Component_type_clinical,Component_type_medical,Component_version_original
First-pass_duration_std,4,2,2,2,2
Total_duration_of_Visit_std,4,2,2,2,2
First-pass_duration_mean,4,2,2,2,2
Time_to_exit_saccade_min,4,2,2,2,2
Average_duration_of_whole_fixations_mean,4,2,2,2,2
Duration_of_first_fixation_mean,4,2,2,2,2
Minimum_duration_of_fixations_max,4,2,2,2,2
word_id_text_min,4,2,2,2,2
tag.id_mean,4,2,2,2,2
Minimum_duration_of_whole_fixations_max,4,2,2,2,2
Sentence_id_current_min,4,2,2,2,2
Number_of_saccades_in_AOI_max,4,2,2,2,2
Average_whole-fixation_pupil_diameter_mean,4,2,2,2,2
Average_pupil_diameter_mean,4,2,2,2,2
Regression-path_duration_max,4,2,2,2,2
Time_to_entry_saccade_mean,4,2,2,2,2
Time_to_exit_saccade_mean,4,2,2,2,2
Average_duration_of_fixations_std,4,2,2,2,2
right_dependents_std,4,2,2,2,2
First-pass_regression_std,4,2,2,2,2
right_dependents_mean,4,2,2,2,2
Duration_of_first_fixation_max,4,2,2,2,2
Duration_of_first_whole_fixation_max,4,2,2,2,2
Time_to_first_whole_fixation_std,4,2,2,2,2
Minimum_duration_of_Visit_min,4,2,2,2,2
Time_to_first_fixation_std,4,2,2,2,2
Minimum_duration_of_fixations_std,4,2,2,2,2
Peak_velocity_of_entry_saccade_min,4,2,2,2,2
Number_of_saccades_in_AOI_mean,4,2,2,2,2
Total_duration_of_fixations_std,4,2,2,2,2
Duration_of_first_whole_fixation_std,4,2,2,2,2
Total_duration_of_fixations_max,4,2,2,2,2
Number_of_saccades_in_AOI_std,4,2,2,2,2
Minimum_duration_of_fixations_mean,4,2,2,2,2
Minimum_duration_of_whole_fixations_mean,4,2,2,2,2
id.phrase.in.brackets_min,4,2,2,2,2
Maximum_duration_of_fixations_mean,4,2,2,2,2
tag.id_min,4,2,2,2,2
Maximum_duration_of_whole_fixations_mean,4,2,2,2,2
Time_to_first_fixation_mean,4,2,2,2,2
Total_duration_of_whole_fixations_max,4,2,2,2,2
Average_duration_of_whole_fixations_max,4,2,2,2,2
Average_duration_of_fixations_max,4,2,2,2,2
Duration_of_first_fixation_std,4,2,2,2,2
Minimum_duration_of_fixations_min,4,2,2,2,2
Average_pupil_diameter_max,4,2,2,2,2
Time_to_entry_saccade_min,4,2,2,2,2
Average_duration_of_whole_fixations_std,4,2,2,2,2
Time_to_first_whole_fixation_mean,4,2,2,2,2
Total_duration_of_whole_fixations_std,4,2,2,2,2
total_word_count_text_std,2,1,0,2,1
total_lemma_count_text_std,2,1,0,2,1
AOI_length_min,1,0,1,0,1
