Base_Feature,Total_Appearances,Component_version_simple,Component_type_clinical,Component_type_medical,Component_version_original,Component_subset_medical,Component_stat_std,Component_stat_max,Component_stat_mean,Component_stat_min
Time_to_entry_saccade_max,4,2,2,2,2,0,0,0,0,0
total_word_count_text,4,0,0,0,0,4,1,1,1,1
word_count_text_max,4,2,2,2,2,0,0,0,0,0
Peak_velocity_of_entry_saccade_max,4,2,2,2,2,0,0,0,0,0
Duration_of_first_whole_fixation_min,4,2,2,2,2,0,0,0,0,0
Peak_velocity_of_exit_saccade_std,4,2,2,2,2,0,0,0,0,0
Peak_velocity_of_exit_saccade_max,4,2,2,2,2,0,0,0,0,0
total_lemma_count_screen_std,4,2,2,2,2,0,0,0,0,0
word_count_text_std,4,2,2,2,2,0,0,0,0,0
total_word_count_screen_std,4,2,2,2,2,0,0,0,0,0
Peak_velocity_of_entry_saccade_std,4,2,2,2,2,0,0,0,0,0
Average_duration_of_whole_fixations_min,4,2,2,2,2,0,0,0,0,0
Maximum_duration_of_whole_fixations_min,4,2,2,2,2,0,0,0,0,0
id.line_mean,4,2,2,2,2,0,0,0,0,0
word_count_text_mean,4,2,2,2,2,0,0,0,0,0
Average_duration_of_fixations_min,4,2,2,2,2,0,0,0,0,0
Maximum_duration_of_fixations_min,4,2,2,2,2,0,0,0,0,0
id.line_max,4,2,2,2,2,0,0,0,0,0
word_frequency_text_min,4,2,2,2,2,0,0,0,0,0
left_dependents_max,4,2,2,2,2,0,0,0,0,0
word_frequency_screen_max,4,2,2,2,2,0,0,0,0,0
word_frequency_text_max,4,2,2,2,2,0,0,0,0,0
word_count_screen_max,4,2,2,2,2,0,0,0,0,0
id.line,4,0,0,0,0,4,1,1,1,1
word_frequency_text,4,0,0,0,0,4,1,1,1,1
Peak_velocity_of_exit_saccade,4,0,0,0,0,4,1,1,1,1
total_lemma_count_text,4,0,0,0,0,4,1,1,1,1
total_lemma_count_screen,4,0,0,0,0,4,1,1,1,1
Duration_of_first_fixation_min,4,2,2,2,2,0,0,0,0,0
Number_of_fixations_std,4,2,2,2,2,0,0,0,0,0
left_dependents_std,4,2,2,2,2,0,0,0,0,0
word_frequency_text_std,4,2,2,2,2,0,0,0,0,0
total_word_count_screen,4,0,0,0,0,4,1,1,1,1
Peak_velocity_of_entry_saccade_mean,4,2,2,2,2,0,0,0,0,0
total_lemma_count_screen_min,4,2,2,2,2,0,0,0,0,0
id.phrase.in.brackets_mean,4,2,2,2,2,0,0,0,0,0
word_count_screen_std,4,2,2,2,2,0,0,0,0,0
Time_to_first_whole_fixation,4,0,0,0,0,4,1,1,1,1
tag.id_std,4,2,2,2,2,0,0,0,0,0
Time_to_first_fixation_min,4,2,2,2,2,0,0,0,0,0
total_word_count_screen_min,4,2,2,2,2,0,0,0,0,0
Number_of_whole_fixations_std,4,2,2,2,2,0,0,0,0,0
Time_to_exit_saccade,4,0,0,0,0,4,1,1,1,1
right_dependents_max,4,2,2,2,2,0,0,0,0,0
Number_of_whole_fixations_max,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_whole_fixations_min,4,2,2,2,2,0,0,0,0,0
Time_to_first_Visit_min,4,2,2,2,2,0,0,0,0,0
AOI_length_max,4,2,2,2,2,0,0,0,0,0
Number_of_fixations_max,4,2,2,2,2,0,0,0,0,0
Time_to_entry_saccade,4,0,0,0,0,4,1,1,1,1
Regression-path_duration_std,4,2,2,2,2,0,0,0,0,0
Number_of_fixations_mean,4,2,2,2,2,0,0,0,0,0
id.line_min,4,2,2,2,2,0,0,0,0,0
Number_of_whole_fixations_mean,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_Visit_min,4,2,2,2,2,0,0,0,0,0
Average_pupil_diameter_min,4,2,2,2,2,0,0,0,0,0
Minimum_duration_of_fixations,4,0,0,0,0,4,1,1,1,1
Total_duration_of_Visit_mean,4,2,2,2,2,0,0,0,0,0
Number_of_Visits_max,4,2,2,2,2,0,0,0,0,0
Maximum_duration_of_fixations_max,4,2,2,2,2,0,0,0,0,0
Duration_of_first_whole_fixation,4,0,0,0,0,4,1,1,1,1
Maximum_duration_of_whole_fixations_max,4,2,2,2,2,0,0,0,0,0
First-pass_duration_max,4,2,2,2,2,0,0,0,0,0
Maximum_duration_of_Visit_min,4,2,2,2,2,0,0,0,0,0
Average_duration_of_Visit_min,4,2,2,2,2,0,0,0,0,0
First-pass_regression_mean,4,2,2,2,2,0,0,0,0,0
First-pass_first_fixation_duration_max,4,2,2,2,2,0,0,0,0,0
Time_to_first_Visit,4,0,0,0,0,4,1,1,1,1
Number_of_Visits_mean,4,2,2,2,2,0,0,0,0,0
First-pass_first_fixation_duration_std,4,2,2,2,2,0,0,0,0,0
Time_to_first_Visit_max,4,2,2,2,2,0,0,0,0,0
