Participant_unique	is.expert	RC_1	RC_2
Participant10-1_A	0	-4.713875470869904	8.85216494409731
Participant11-1_B	1	12.230593088286163	-1.251992782258539
Participant12-2_A	0	-7.516717617416259	-7.6001721618387705
